국내 음료 수익성 비교 : 롯데칠성 vs LG 생활건강,1Q21,2Q21,3Q21,4Q21,1Q22,2Q22,3Q22,4Q22,1Q23,2Q23,3Q23
롯데칠성 영업이익률,약 6%,약 10%,약 14%,약 4%,약 8%,약 8%,약 12%,약 6%,약 10%,약 9%,약 11%
LG 생활건강 영업이익률,약 14%,약 14%,약 14%,약 9%,약 14%,약 14%,약 14%,약 8%,약 13%,약 12%,약 14%
