,1Q20,2Q20,3Q20,4Q20,1Q21,2Q21,3Q21,4Q21,1Q22,2Q22,3Q22,4Q22,1Q23,2Q23,3Q23
위버스 입점 커뮤니티 수,4개,4개 이상,4개 이상,4개 이상,4개 이상,28개,28개 이상,28개 이상,36개,36개 이상,58개,58개 이상,77개,98개,100개
위버스 MAU 추이,2.4 (백만명),3.5 (백만명),4.7 (백만명),4.7 (백만명),4.9 (백만명),5.3 (백만명),6.4 (백만명),6.8 (백만명),6.4 (백만명),6 (백만명),6.9 (백만명),8.4 (백만명),9.3 (백만명),9.5 (백만명),10.5 (백만명)
