국내 주류 수익성 비교: 롯데칠성 vs 하이트 진로,1Q21,2Q21,3Q21,4Q21,1Q22,2Q22,3Q22,4Q22,1Q23,2Q23,3Q23
롯데칠성 영업이익률,약 6%,약 0%,약 7%,약 2%,약 11%,약 6%,약 4%,-약 1%,약 9%,약 1%,약 7%
하이트진로 영업이익률,약 11%,약 9%,약 8%,약 6%,약 10%,약 9%,약 8%,약 2%,약 7%,약 1%,
