롯데칠성 영업이익률 비교: 국내 vs 해외,1Q21,2Q21,3Q21,4Q21,1Q22,2Q22,3Q22,4Q22,1Q23,2Q23,3Q23
국내 영업이익률,약 6%,약 7%,약 13%,약 4%,약 9%,약 8%,약 9%,약 4%,약 8%,약 6%,약 10%
해외 영업이익률,약 5%,약 7%,약 5%,약 0%,약 5%,약 11%,약 6%,약 4%,약 7%,약 14%,약 11%
