롯데칠성의 새로 소주 매출액 추이,3Q22,4Q22,1Q23,2Q23,3Q23
새로 소주 내 비중,약 4%,약 20%,약 33%,약 37%,약 39%
새로 매출액,5(십억원),15(십억원),25(십억원),31(십억원),32(십억원)
